Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
12,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,parda,,"Rua do Ouvidor, 122",,"ALUGÃO-SE, para casas respeitáveis, os seguintes escravos, affiançando-se as qualidades aqui annunciadas: huma parda ama de leite, com hum filho de 11 mezes, sabendo coser, cortar vestidos, pentear e pregar huma senhora, cozinhar, lavar e engommar, e todo o mais serviço domestico, he fiel e mui carinhosa para crianças: huma parda optima cozinheira de forno e fogão, costureira, engommadeira, e para todo o serviço domestico, he perita; adverte-se que se alugará com huma filha de 12 annos: hum pardinho de 12 annos, bom pagem, comprador, bolêa muito bem, apezar da idade, he muito vivo e intelligente para comprar, etc.; e hum preto fiel e humilde, para todo o serviço grosseiro de huma casa: pertencem estes escravos a huma pessoa que se retira para fôra por algum tempo; trata se na rua do Ouvidor n. 122, a toda hora.",,,,,,,,,,,,,,,,
13,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,"costureira, cozinheira, engomadeira e todo o serviço doméstico",,,F,,parda,,"Rua do Ouvidor, 122",,"ALUGÃO-SE, para casas respeitáveis, os seguintes escravos, affiançando-se as qualidades aqui annunciadas: huma parda ama de leite, com hum filho de 11 mezes, sabendo coser, cortar vestidos, pentear e pregar huma senhora, cozinhar, lavar e engommar, e todo o mais serviço domestico, he fiel e mui carinhosa para crianças: huma parda optima cozinheira de forno e fogão, costureira, engommadeira, e para todo o serviço domestico, he perita; adverte-se que se alugará com huma filha de 12 annos: hum pardinho de 12 annos, bom pagem, comprador, bolêa muito bem, apezar da idade, he muito vivo e intelligente para comprar, etc.; e hum preto fiel e humilde, para todo o serviço grosseiro de huma casa: pertencem estes escravos a huma pessoa que se retira para fôra por algum tempo; trata se na rua do Ouvidor n. 122, a toda hora.",,,,,,,,,,,,,,,,
14,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,,,,F,12,,,"Rua do Ouvidor, 122",,"ALUGÃO-SE, para casas respeitáveis, os seguintes escravos, affiançando-se as qualidades aqui annunciadas: huma parda ama de leite, com hum filho de 11 mezes, sabendo coser, cortar vestidos, pentear e pregar huma senhora, cozinhar, lavar e engommar, e todo o mais serviço domestico, he fiel e mui carinhosa para crianças: huma parda optima cozinheira de forno e fogão, costureira, engommadeira, e para todo o serviço domestico, he perita; adverte-se que se alugará com huma filha de 12 annos: hum pardinho de 12 annos, bom pagem, comprador, bolêa muito bem, apezar da idade, he muito vivo e intelligente para comprar, etc.; e hum preto fiel e humilde, para todo o serviço grosseiro de huma casa: pertencem estes escravos a huma pessoa que se retira para fôra por algum tempo; trata se na rua do Ouvidor n. 122, a toda hora.",,,,,,,,,,,,,,,,
15,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,,,,M,12,pardo,,"Rua do Ouvidor, 122",,"ALUGÃO-SE, para casas respeitáveis, os seguintes escravos, affiançando-se as qualidades aqui annunciadas: huma parda ama de leite, com hum filho de 11 mezes, sabendo coser, cortar vestidos, pentear e pregar huma senhora, cozinhar, lavar e engommar, e todo o mais serviço domestico, he fiel e mui carinhosa para crianças: huma parda optima cozinheira de forno e fogão, costureira, engommadeira, e para todo o serviço domestico, he perita; adverte-se que se alugará com huma filha de 12 annos: hum pardinho de 12 annos, bom pagem, comprador, bolêa muito bem, apezar da idade, he muito vivo e intelligente para comprar, etc.; e hum preto fiel e humilde, para todo o serviço grosseiro de huma casa: pertencem estes escravos a huma pessoa que se retira para fôra por algum tempo; trata se na rua do Ouvidor n. 122, a toda hora.",,,,,,,,,,,,,,,,
16,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,todo serviço,,,M,,preto,,"Rua do Ouvidor, 122",,"ALUGÃO-SE, para casas respeitáveis, os seguintes escravos, affiançando-se as qualidades aqui annunciadas: huma parda ama de leite, com hum filho de 11 mezes, sabendo coser, cortar vestidos, pentear e pregar huma senhora, cozinhar, lavar e engommar, e todo o mais serviço domestico, he fiel e mui carinhosa para crianças: huma parda optima cozinheira de forno e fogão, costureira, engommadeira, e para todo o serviço domestico, he perita; adverte-se que se alugará com huma filha de 12 annos: hum pardinho de 12 annos, bom pagem, comprador, bolêa muito bem, apezar da idade, he muito vivo e intelligente para comprar, etc.; e hum preto fiel e humilde, para todo o serviço grosseiro de huma casa: pertencem estes escravos a huma pessoa que se retira para fôra por algum tempo; trata se na rua do Ouvidor n. 122, a toda hora.",,,,,,,,,,,,,,,,
17,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,1,,,,,,,,F,14,parda,escrava,"Rua de São Pedro, 91",,"VENDE-SE huma pardinha muito clara e bonita, de 14 annos de idade, propria para mimo; na rua de S. Pedro n. 91.",,,,,,,,,,,,,,,,
18,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,1,,,,,"lavadeira, cozinheira, engomadeira, costureira",,,F,,preta,escrava,"Rua do Cano, 215",,"VENDE-SE huma preta com huma cria de 2 annos, sabendo lavar bem, engommar, cozinhar e coser; na rua do Cano n. 215",,,,,,,,,,,,,,,,
19,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua de São José, 15",,"Vende-se hum preto perfeito cozinheiro de forno e fogão, o qual se dá a contento sendo para casa conhecida; na rua de S. José n. 15, sobrado.",,,,,,,,,,,,,,,,
20,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,1,,,,,boleeiro,,,M,,preto,escravo,"Rua das Laranjeiras, 16",,"VENDE-SE um preto boleeiro, de elegante figura, habit (...) a servir huma mesa, e sem vicios nem molestias; nas Laranjeiras, n. 16.",,,,,,,,,,,,,,,,
21,Jornal do Commercio,88,3,http://memoria.bn.br/DocReader/364568_03/351,2-Apr-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua da Valla, 87",,"VENDE-SE huma preta rapariga, com habilidades, com a condição de ser para fôra da província: na rua da Valla n. 87.",,,,,,,,,,,,,,,,
22,Jornal do Commercio,88,4,http://memoria.bn.br/DocReader/364568_03/352,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua do Cano, 29",,"ALUGA-SE hum preto que sabe cozinhar com perfeição, na rua do Cano n. 29.",,,,,,,,,,,,,,,,
23,Jornal do Commercio,88,4,http://memoria.bn.br/DocReader/364568_03/352,2-Apr-1840,fuga,"procurando serviço
",1,,,,,,Marcolino,,M,,crioulo,escravo,"Rua do Sacco do Alferes, casa 107",,"Fugio, no dia 30 do findo mez de março, hum escravo crioulo, de nome Marcolino; todo aquelle pedestre ou malsim que o pegar pode-o levar a seu senhor, que mora na rua Nova do Sacco do Alferes, casa n. 107, que receberá alviçaras: protesa o dito seu senhor na fórma da lei haver, de todo aquelle que lher couto ou o seduzir, os seus serviços eo mais que pela lei lhe fôr imposto.",,,,,,,,,,,,,,,,
24,Jornal do Commercio,88,4,http://memoria.bn.br/DocReader/364568_03/352,2-Apr-1840,aluguel,oferecendo serviço,1,120,,,,"engomadeira, lavadeira, costureira",,,M,,parda,,"Rua do Parto, 101",,"ALUGA-SE huma pardinha sabendo bem coser, engommar, lavar e cozinhar, a qual tem a melhor conducta e intelligencia, o que se affiança; por 120 réis, pagos adiantados; na rua do Parto n. 101.",,,,,,,,,,,,,,,,
25,Jornal do Commercio,88,4,http://memoria.bn.br/DocReader/364568_03/352,2-Apr-1840,aluguel,oferecendo serviço,1,,,,,todo serviço de casa,,,F,,preta,escrava,"Rua das Violas, 68",,ALUGA-SE huma preta que sabe fazer todo o serviço de huma casa: na rua das Violas n. 68.,,,,,,,,,,,,,,,,
26,Jornal do Commercio,89,3,http://memoria.bn.br/DocReader/364568_03/355,3-Apr-1840,"venda
",oferecendo serviço,>1,,,Frederico Guilherme,M,,,,M/F,,,escravo,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME faz leilão, hoje quarta feira, ás 11 horas, na sua casa, rua do Ouvidor n. 84, de huma grande porção de escravos de ambos os sexos, entre os quais ha hum preto peritimo cozinheiro de forno, fogão e massas, faz doces de todas as qualidades, e he affiançado sem vicios nenhuns: hum dito excellente official de boleeiro; hum dito sem vicios nenhuns, de bonita figura, com principio de official de sapateiro, e muito proprio para o serviço de casa, o qual não se vende senão por se precisar do seu importe; lavadeiras, engommadeiras, costureiras, mocambas, pretos e pretas de roça, moleques e negrinhas, etc. , etc; os quais serão vendidos, como de costume, com condições de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
27,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,compra,procurando serviço,1,,,,,,,,F,,preta,escrava,"Rua do Rosário, 70",,"COMPRA-SE huma preta, mocamba recolhida, que saiba perfeitamente engommar, ensaboar e cozinhar, porém quer-se de alguma família que se retire, e não de negociante: quem a tiver dirija-se á rua do Rosário n. 70.",,,,,,,,,,,,,,,,
28,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,,pardo,escravo,"Rua do Sabão, 67",,"VENDE-SE hum pardo official de pedereiro, hum dito alfaiate, hum moleque cozinheiro, huma preta que cozinha e lava; na rua do Sabão n. 67.",,,,,,,,,,,,,,,,
29,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,,,escravo,"Rua do Sabão, 67",,"VENDE-SE hum pardo official de pedereiro, hum dito alfaiate, hum moleque cozinheiro, huma preta que cozinha e lava; na rua do Sabão n. 67.",,,,,,,,,,,,,,,,
30,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua do Sabão, 67",,"VENDE-SE hum pardo official de pedereiro, hum dito alfaiate, hum moleque cozinheiro, huma preta que cozinha e lava; na rua do Sabão n. 67.",,,,,,,,,,,,,,,,
31,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira",,,F,,preta,escrava,"Rua do Sabão, 67",,"VENDE-SE hum pardo official de pedereiro, hum dito alfaiate, hum moleque cozinheiro, huma preta que cozinha e lava; na rua do Sabão n. 67.",,,,,,,,,,,,,,,,
32,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,aluguel,oferecendo serviço,1,,,,,,,,M,,preta,,"Rua das Violas, 68",,"ALUGA-SE huma boa preta para portas a dentro, que sabe fazer todo o serviço de huma casa; na rua das Violas n. 68.",,,,,,,,,,,,,,,,
33,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,"cozinheira, engomadeira, costureira",,,F,,preta,escrava,"Rua da Valla, 89",,"VENDE-SE, na rua da Valla n. 89, huma linda preta moça, que cose e engomma com perfeição, por preço commodo.",,,,,,,,,,,,,,,,
34,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,fuga,procurando serviço,1,,,,,,Francisca,Rebola,F,40,,escrava,"Rua São Pedro, 161",,"Desappareceu, no dia 29 do mez p. p. , da rua S. Pedro n. 161, huma escrava de nome Francisca, nação Rebola, que terá 40 annos de idade pouco mais ou menos, estatura regular, e reforçada do corpo; há toda a desconfiança que esteja açoutada, contra o que desde já se protesta usar dos meios que a lei permitte: quem a levar á casa acima receberá boas alviçaras.",,,,,,,,,,,,,,,,
35,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,fuga,procurando serviço,1,,,,,,Domingos,Benguela,M,16,,escravo,"Rua de Dom Manoel, 13",,"Desappareceu, no dia 2 do corrente mez, hum moleque de nação Benguela, por nome Domingos, de idade de 16 annos, com os signaes seguintes: magro do corpo, cara lisa, pés e dedos das mãos compridos, e com hum signal em hum dos braços; levou vestido calças de riscado ordinario e camisa de baeta: foi encontrado no mesmo dia, na rua de S. José, com hum cesto na cabeça, acompanhando a hum homem branco, este dizendo que seu senhor he que o tinha mandado; por onde se desconfia fosse seduzido: quem delle souber e der noticia na rua de D. Manoel n. 13, receberá boas alviçaras.",,,,,,,,,,,,,,,,
36,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,barqueiro,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
37,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,barqueiro,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
38,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,todo serviço de roça,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
39,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,todo serviço de roça,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
40,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,todo serviço de roça,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
41,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,todo serviço de roça,,,M,,preto,escravo,"Rua do Lavradio, 23",,"VENDEM-SE seis pretos: dous são barqueiros e bons arrazes, moços e de boas figuras;e quatro de meia idade, que fazem todo o serviço de roça: vendem-se juntos ou separados, e se dão muito em conta: na rua do Lavradio n. 23.",,,,,,,,,,,,,,,,
42,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,preta,escrava,"Rua dos Latoeiros, 77",,"VENDE-SE, na rua dos Latoeiros n. 77, huma preta que sabe lavar, engommar e cozinhar: trata-se na mesma casa.",,,,,,,,,,,,,,,,
43,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,fuga,procurando serviço,1,,,,,,Antonio,Moçambique,M,12,preto,,"Rua da Candelâria, 18 B",,"Fugio, no dia 1º do corrente, hum moleque de nome Antonio, de nação Moçambique, de idade de 12 a 14 annos, tendo fraca pronuncia no idioma portuguez; quem o levar á rua da Candelâria n. 18 B, será gratificado generosamente",,,,,,,,,,,,,,,,
44,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira, engomadeira",,,F,16,preta,escrava,"Rua de São José, 77, 1º andar",,"VENDE-SE huma negrinha de 16 annos de idade, que cose, lava, engomma e cozinha, não he perfeita; tambem huma preta perfeita lavadeira e engommadeira, que se dá a contento: na rua de S. José n. 77, 1º andar.",,,,,,,,,,,,,,,,
45,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira, engomadeira",,,F,16,preta,escrava,"Rua de São José, 77, 1º andar",,"VENDE-SE huma negrinha de 16 annos de idade, que cose, lava, engomma e cozinha, não he perfeita; tambem huma preta perfeita lavadeira e engommadeira, que se dá a contento: na rua de S. José n. 77, 1º andar.",,,,,,,,,,,,,,,,
46,Jornal do Commercio,89,4,http://memoria.bn.br/DocReader/364568_03/356,3-Apr-1840,"aluguel
",oferecendo serviço,2,,,,,,,,F,,preta,,"Rua de Santo Antonio, 22",,"ALUGÃO-SE duas pretas raparigas, que sabem coser, lavar, e engommar, e tratar de crianças; na rua de Santo Antonio n. 22.",,,,,,,,,,,,,,,,
47,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,venda,oferecendo serviço,>1,,,Frederico Guilherme,M,,,,M/F,,,escravo,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME faz leilão, hoje quarta feira, ás 11 horas, na sua casa, rua do Ouvidor n. 84, de huma grande porção de escravos de ambos os sexos, entre os quais ha hum preto peritimo cozinheiro de forno, fogão e massas, faz doces de todas as qualidades, e he affiançado sem vicios nenhuns: hum dito excellente official de boleeiro; hum dito sem vicios nenhuns, de bonita figura, com principio de official de sapateiro, e muito proprio para o serviço de casa, o qual não se vende senão por se precisar do seu importe; lavadeiras, engommadeiras, costureiras, mocambas, pretos e pretas de roça, moleques e negrinhas, etc. , etc; os quais serão vendidos, como de costume, com condições de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
48,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,venda,oferecendo serviço,1,,,,,todo serviço de casa,,,M,,preto,escravo,"Rua da Quitanda, 30",,"VENDE-SE, na rua da Quitanda n. 30, hum preto baixo e reforçado, proprio para todo o serviço de huma casa; ou também se troca por huma negrinha.",,,,,,,,,,,,,,,,
49,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,fuga,procurando serviço,1,,,,,marinheiro,Fillippe,Moçambique,M,40,preto,escravo,"Travessa do Paço, 15",,"Fugirão, em fevereiro do corrente anno, dous escravos marinheiros, hum de nome Fillippe, nação Moçambique, idade presumivel quarenta annos, estatura ordinaria, dentes limados, e signaes da nação no rosto, o qual andava na sumaca Espirito Santo para Macahé; outro de nome José, nação Calabar, idade de trinta annos, alto, reforçado e muito retinto; andava na sumaca S. Francisco para Paraty: quem dos mesmos der notícia certa na travessa do Paço n. 15, será gratificado.",,,,,,,,,,,,,,,,
50,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,fuga,procurando serviço,1,,,,,marinheiro,José,Calambar,M,30,preto,escravo,"Travessa do Paço, 15",,"Fugirão, em fevereiro do corrente anno, dous escravos marinheiros, hum de nome Fillippe, nação Moçambique, idade presumivel quarenta annos, estatura ordinaria, dentes limados, e signaes da nação no rosto, o qual andava na sumaca Espirito Santo para Macahé; outro de nome José, nação Calabar, idade de trinta annos, alto, reforçado e muito retinto; andava na sumaca S. Francisco para Paraty: quem dos mesmos der notícia certa na travessa do Paço n. 15, será gratificado.",,,,,,,,,,,,,,,,
51,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,venda,oferecendo serviço,1,,,,,,,,F,15,preta,escrava,"Rua do Parto, 102",,"VENDE-SE huma mocamba recolhida, de 15 annos, perfeita costureira; huma dita negrinha, de 11 annos, muito linda, ou também se troca por huma ama de leite prendada: na rua do Parto n. 102.",,,,,,,,,,,,,,,,
52,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,venda,oferecendo serviço,1,,,,,,,,F,11,preta,escrava,"Rua do Parto, 102",,"VENDE-SE huma mocamba recolhida, de 15 annos, perfeita costureira; huma dita negrinha, de 11 annos, muito linda, ou também se troca por huma ama de leite prendada: na rua do Parto n. 102.",,,,,,,,,,,,,,,,
53,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,venda,oferecendo serviço,1,280,,,,,,,F,,preta,escrava,"Rua de São José, 10",,"VENDE-SE, de huma família particular, huma preta por 280$ réis, que cozinha bem, lava de sabão e barrela, engomma e he de muito boa conducta; na rua de S. José n. 10.",,,,,,,,,,,,,,,,
54,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,compra,procurando serviço,1,,,,,vendedora,,,F,,,escrava,"Rua do Hospício, 110",,"PRECISA-SE de huma escrava que saiba vender fazendas a covado e vara, affiançando-se a sua conduca; quem a tiver dirija-se á rua do Hospício n. 110.",,,,,,,,,,,,,,,,
55,Jornal do Commercio,90,4,http://memoria.bn.br/DocReader/364568_03/360,4-Apr-1840,aluguel,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua do Ouvidor, 122",,ALUGA-SE hum preto para todo o serviço; na rua do Ouvidor n. 122.,,,,,,,,,,,,,,,,
