Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
15,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,crioula,F,,,escrava,"Rua das Violas, 175",,"ALUGA-SE huma ama de leite crioula, rapariga, de primeiro parto: na rua das Viloas n. 175.",,,,,,,,,,,,,,,,
16,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,lavadeira e engomadeira,,,F,,preta,escrava,"Rua da Direita, 34",,"ALUGA-SE huma preta que saiba lavar e engomar roupa, e tratar de huma criança: e tambem hum preto para o serviço de casa: na rua da Direita n. 34.",,,,,,,,,,,,,,,,
17,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,lavadeira e engomadeira,,,M,,preto,escravo,"Rua da Direita, 34",,"ALUGA-SE huma preta que saiba lavar e engomar roupa, e tratar de huma criança: e tambem hum preto para o serviço de casa: na rua da Direita n. 34.",,,,,,,,,,,,,,,,
18,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,230$000,,,,cozinheira e lavadeira,,,F,,negrinha,escrava,"Rua da Vala, 89",,"VENDE-SE huma negrinha de idade de 10 annos, por 230$ e huma preta cozinheira e lavadeira, por 220$: na rua da Vala n. 89.",,,,,,,,,,,,,,,,
19,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,220$000,,,,cozinheira e lavadeira,,,F,,negrinha,escrava,"Rua da Vala, 89",,"VENDE-SE huma negrinha de idade 10 annos, por 230$, e huma preta cozinheira e lavadeira, por 220$: na rua da Valla n. 89. ",,,,,,,,,,,,,,,,
20,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,fuga,,1,,,,,,Joaquim,Monjolo,M,,preto,escravo,"Rua do Aljube, 35",,"QUEM souber ou der noticia de hum preto de nome Joaquim, de nação Monjolo, o qual tem os signaes apagados, huma verruga no nariz, duas cutiladas na cabeça e huma cruz no peito: nos dentes tem huma aberta de nascença do lado superior, as gengivas vermelhas, he muito bem parecido: dirija-se á rua do Aljube n. 35.",,,,,,,,,,,,,,,,
21,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,procurando serviço,1,,,,,cozinheira e lavadeira,,,F,,preta,escrava,"Rua do Espírito Santo, 26",,PRECISA-SE alugar huma preta que saiba cozinhar e lavar: na rua do Espirito Santo n. 26.,,,,,,,,,,,,,,,,
22,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,serviços domésticos,,,F,,preta,escrava,"Rua das Violas, 68",,ALUGA-SE huma preta que sabe fazer todo o serviço de huma casa: na rua das Violas n. 68.,,,,,,,,,,,,,,,,
23,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,fuga,,1,,,,,carpinteiro,Joaquim,crioulo,M,20-25,preto,escravo,"Rua das Violas, 96",,"Fugio, da casa n. 96 da rua das Violas, das 5 para 6 horas da manhã do dia 30 de abril, hum moleque por nome Joaquim, crioulo, com officio de carpinteiro, de idade 20 a 25 annos, altura regular, rosto comprido, tem hum signal na testa na parte direita que parece queimado, falta-lhe 3 ou 4 dentes de cima podres: levou vestido calça de zuarte, camisa de de algodão americano e jaqueta azul já velha: este preto andou embarcado dous para tres annos, e por isso se faz publico para que nenhum capitão de embarcação lhe de lugar a seu bordo, aliás se usará dos meios que facultão as leis. Quem delle der noticia, ou levar ao numero acima, receberá boas alviçaras.",,,,,,,,,,,,,,,,
24,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,,,,,"costureira, lavadeira, engomadeira",,,F,16,preta,escrava,"Rua da Quitanda, 114",,"VENDE-SE huma preta muito boa costureira, sabendo marcar muito bem, fazer crivo, mas não com muita perfeição: prega e veste muito bem huma senhoras, lava e engomma, não com muita perfeição, e tem 16 annos de idade; vende se por seu senhor se reritar para fora da terra; na rua Quitanda n. 114.",,,,,,,,,,,,,,,,
25,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,,,,,"engomadeira, lavadeira e cozinheira",,,F,,preta,escrava,"Rua da Alfândega, 292",,"VENDE-SE huma preta moça, que engomma, lava, cozinha e cose: na rua da Alfândega. 292.",,,,,,,,,,,,,,,,
26,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,2,,,,,"engomadeira, lavadeira, cozinheira e quitandeira",,,F,,preta,escrava,"Rua da Alfândega, 293",,"VENDE-SE huma preta que engomma, cose, lava e cozinha, e huma dita que lava, cozinha e he quitandeira: na rua da Alfândega n. 293.",,,,,,,,,,,,,,,,
27,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,18,,escravo,"Rua da Cadeia, 68",,"VENDE-SE hum molecote de 18 annos, de bonita figura, perfeito cozinheiro, e de conducta affiançada : na rua da Cadea n. 68.",,,,,,,,,,,,,,,,
28,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,venda,oferecendo serviço,1,,,,,engomadeira,,,F,16,preta,escrava,"Rua da Alfândega, 931",,"VENDE-SE, na rua da Alfândega n. 931, huma preta de 16 annos, sem vicios, que cose alinhavado, engomma liso e ensaboa.",,,,,,,,,,,,,,,,
29,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,preta,forra,"Rua do Jogo da Bola, 71",,"ALUGA-SE huma preta forra para ama de leite, a qual tem o bom e com abundancia: na rua do Jogo da Bola n. 71.",,,,,,,,,,,,,,,,
30,Jornal do Commercio,115,4,http://memoria.bn.br/docreader/364568_03/460,2-May-1840,compra,procurando serviço,1,12$000 ,,,,,,,M,,preto,escravo,"Rua do Catete, 146",,"PRECISA-SE alugar hum preto para todo o serviço de huma casa, que seja fiel, dando de 12$000 rs. mensaes: na rua do Catete n. 146.",,,,,,,,,,,,,,,,
31,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,>1,,,Frederico Guilherme,M,,,,F/ M,,,escravo/escrava,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME fará leilão, no dia quarta feira, na sua casa, rua do Ouvidor, n. 84, de huma grande porção de escravos de ambos os sexos, com varios officios e de roça, moleques e negrinhas, que serão vendidos, como de costume, com condição de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
32,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,aluguel,procurando serviço,1,,,,,vendedor,,,F/ M,,preto/preta,escravo/escrava,"Rua do Rosário, 107",,"PRECISA-SE alugar hum preto ou preta que seja fiel, para vender miudezas de agulhas, alfinetes e tudo o que pertence a esta quitanda; na rua do Rozario n. 107.",,,,,,,,,,,,,,,,
33,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,2,,,,,,,,M,,preto,escravo,Beco do Carmo,,"VENDE-SE, no beco do Carmo, dous pretos reforçados, muito bons pra qualquer serviço.",,,,,,,,,,,,,,,,
34,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,aluguel,oferecendo serviço,1,,,,,"cozinheira, engomadeira e lavadeira",,,F,,parda,escrava,"Rua do Conde, 45",,"ALUGÃO-SE, na rua do Conde n. 45, para casa muito capaz, huma escrava parda, de meia idade, sabendo coser, cozinhar de forno e fogão, fazer doces, engommar perfeitamente, lavar de sabão, e podendo-se-lhe entregar o governo de huma casa, de que muito entende: e huma preta que cozinha, lava de sabão e barrela, faz compras e sabe quitandar.",,,,,,,,,,,,,,,,
35,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,aluguel,oferecendo serviço,1,,,,,cozinheira e quitandeira,,,F,,preta,escrava,"Rua do Conde, 45",,"ALUGÃO-SE, na rua do Conde n. 45, para casa muito capaz, huma escrava parda, de meia idade, sabendo coser, cozinhar de forno e fogão, fazer doces, engommar perfeitamente, lavar de sabão, e podendo-se-lhe entregar o governo de huma casa, de que muito entende: e huma preta que cozinha, lava de sabão e barrela, faz compras e sabe quitandar.",,,,,,,,,,,,,,,,
36,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,1,,,,,engomadeira,,,F,18,preta,escrava,"Rua do Valongo, 12",,"VENDE-SE na rua do Vallongo n. 12, huma preta que tem 18 annos de idade, que sabe engommar, coser, lavar e cozinhar, e também veste e prega huma Sra. ; affiança-se não ter vicios.",,,,,,,,,,,,,,,,
37,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,1,,,,,"engomadeira, lavadeira e cozinheira",,,F,,preta,escrava,"Praia de Dom Manoel, 15",,"VENDE-SE, na praia de D. Manoel n. 15, huma boa preta perfeitamente engommadeira, lava muito bem de barrela e sabão, cozinha de forno e fogão; não se vende a negociantes de escravos.",,,,,,,,,,,,,,,,
38,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,1,,,,,"serviços domésticos, costureiro, tratador de cavalos",,nação,M,24,,escravo,"Rua do Conde da Cidade Nova, 35",,"VENDE-SE hum moleque de nação, que serve de pagem, de 24 annos de idade, bonito, e linda figura, que sabe bem pôr e servir huma mesa, limpa facas e garfos, e faz recados, o qual falla bem, faz costuras de mulher e homens, e sabe tratar de cavallos; na rua do Conde da Cidade Nova n. 35, ao pé do Campo.",,,,,,,,,,,,,,,,
39,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,aluguel/venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Catete n. 146 ou Largo do Paço, 8",,"O SENHOR que mora no Catete n. 146, se ainda precisar do preto com as condições que tem o seu annuncio, dirija-se ao Largo do Paço n. 8, segundo andar.",,,,,,,,,,,,,,,,
40,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,aluguel,oferecendo serviço,>1,,,,,,,,F/M,,,escravo/escrava,"Rua do Rosário, 107",,"RECEBERAM-SE para alugar, por conta dos seus donos, casas e escravos, segurando-se o bom exito do negocio; na rua do Rosário n. 107.",,,,,,,,,,,,,,,,
41,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,venda,oferecendo serviço,>1,,,,,,,,F/M,,,escravo/escrava,"Rua do Rosário, 107",,"CONTINUA-SE a receber escravos, predios e chacaras para serem vendidos por conta de seus donos, não pagando estes despeza alguma; na rua do Rosário n. 107",,,,,,,,,,,,,,,,
42,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,fuga,,1,,,,,,Joaquim,Moçambique,M,,preto,escravo,"Rua da Ajuda, 58",,"Fugiu , no dia 30 de abril, da rua da Ajuda n. 58, hum preto por nome Joaquim, de nação Moçambique, levando vestido calças e camisas de brim branco, e com signaes seguintes: cara redonda e cheia, que parece inchada, olhos grande e muito sahidos para fóra, barba crescida só no queixo, pés grandes e cambaios, e os artelhos bastante inchados: quem o levar ao numero acima receberá boas alviçaras.",,,,,,,,,,,,,,,,
43,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,compra,procurando serviço,1,12$000 ,month,,,,,,M,,preto,escravo,"Rua do Catete, 146",,"PRECISA-SE alugar hum preto para todo o serviço de huma casa, que seja fiel, dando de 12$000 rs. mensaes: na rua do Catete n. 146.",,,,,,,,,,,,,,,,
44,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,compra/aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua dos Latoeiros, 62",,"PRECISA-SE de hum preto cozinheiro, na rua dos Latoeiros n. 62.",,,,,,,,,,,,,,,,
45,Jornal do Commercio,117,4,http://memoria.bn.br/docreader/364568_03/468,4-May-1840,fuga,,1,,,,,,Izidoro,Cabinda,M,26,preto,escravo,"Fazenda da Barra da Tijuca ou Rua do Ouvidor, 60",,"Fugiu da fazenda da Barra da Tijuca, hum preto chamado Izidoro, de nação Cabinda, com os signaes seguintes: idade 26 annos, cor muito preta, camisa de algodão americano fino, nova, calça de riscado encarnado na cabeça, tudo novo: cara, olho e cabeça feridos novamente, e a cabeça meio raspada: quem o entregar na fazenda acima, ou na rua do Ouvidor n. 60, receberá alviçaras e pagar-se-lhe-hão todas as despezas que com elle tiver feito.",,,,,,,,,,,,,,,,
46,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,venda,oferecendo serviço,1,,,,,"mocamba, cozinheira, engomadeira, lavadeira, cuidador",,,F,,parda,escrava,"Rua da Ajuda, 5",,"VENDE-SE huma parda de bonita figura, que sabe coser, engommar, lavar e cozinhar o trivial de huma casa, he muito carinhosa para crianças e boa mocamba; na rua da Ajuda n. 5: vende-se por sua senhora se retirar para fóra.",,,,,,,,,,,,,,,,
47,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,aluguel,oferecendo serviço,2,,,,,"lavadeira, engomadeira",,,F,15-16,pretas,escrava,"Rua da Misericórdia, 12",,"ALUGÃO-SE duas pretas sabendo lavar e engommar, de 15 a 16 annos de idade, com a condição de não sahirem á rua; na rua da Misericórdia, n. 12.",,,,,,,,,,,,,,,,
48,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,aluguel,oferecendo serviço,1,,,,,serviços domésticos,,,F,,parda,forra,"Beco dos Cachorros, 10",,"ALUGA-SE no beco dos Cachorros n. 10, huma parda forra para arranjo de huma casa de homem solteiro, ou de alguma senhora viuva; affiança-se a sua conducta.",,,,,,,,,,,,,,,,
49,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,aluguel,oferecendo serviço,1,9$000 ,month,,,"cozinheira, lavadeira",,,F,,pretas,escrava,"Rua do Rosário, 107",,"ALUGA-SE huma preta por 9$ rs. mensaes, que cozinha e lava; na rua do Rosário n. 107; e hum moleque de 13 annos para o serviço de qualquer homem solteiro, por 8$rs. mensaes.",,,,,,,,,,,,,,,,
50,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,aluguel,oferecendo serviço,1,8$000 ,month,,,,,,F,13,preta,escrava,"Rua do Rosário, 107",,"ALUGA-SE huma preta por 9$ rs. mensaes, que cozinha e lava; na rua do Rosário n. 107; e hum moleque de 13 annos para o serviço de qualquer homem solteiro, por 8$rs. mensaes.",,,,,,,,,,,,,,,,
51,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,aluguel,oferecendo serviço,1,,,,,,,,M,,,escravo,"Rua da Alfândega, 217",,"ALUGA-SE hum menino de cor, ou outro que esteja nestas circunstancias, de dez a quatoze annos, para serviços adequados á sua idade; quem se achar nas ditas circunstancias dirija-se á rua da Alfândega n. 217.",,,,,,,,,,,,,,,,
52,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,venda,oferecendo serviço,1,,,,,,,,F,10/9/20 0:00,negrinha,escrava,"Rua do Rosário, 138",,"VENDE-SE, na rua do Rosário n. 138, armazem, huma linda negrinha de 9 a 10 annos, por com modo preço. ",,,,,,,,,,,,,,,,
53,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,venda,oferecendo serviço,1,,,,,mocamba,,,F,,preta,escrava,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, huma linda preta mocamba, com habilidades e de boa conducta.",,,,,,,,,,,,,,,,
54,Jornal do Commercio,118,4,http://memoria.bn.br/docreader/364568_03/472,5-May-1840,compra/aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua dos Latoeiros, 62",,"PRECISA-SE de hum preto cozinheiro, na rua dos Latoeiros n. 62.",,,,,,,,,,,,,,,,
55,Jornal do Commercio,119,3,http://memoria.bn.br/docreader/364568_03/475,6-May-1840,venda,oferecendo serviço,>1,,,Frederico Guilherme,M,"cozinheiro, boleiro, lavadeiras, engommadeiras, costureiras, mocambas",,,F/M,,,escravo/escrava,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME faz leilão, hoje quarta feira, ás 11 horas, na sua casa, rua do Ouvidor n. 84, de huma grande porção de escravos de ambos os sexos, entre os quais ha hum preto peritimo cozinheiro de forno, fogão e massas, faz doces de todas as qualidades, e he affiançado sem vicios nenhuns: hum dito excellente official de boleeiro; hum dito sem vicios nenhuns, de bonita figura, com principio de official de sapateiro, e muito proprio para o serviço de casa, o qual não se vende senão por se precisar do seu importe; lavadeiras, engommadeiras, costureiras, mocambas, pretos e pretas de roça, moleques e negrinhas, etc. , etc; os quais serão vendidos, como de costume, com condições de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,,,,
56,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,venda,oferecendo serviço,>1,,,,,"mocambas, cozinheiras, roceiro",,,F/ M,,,escravo/escrava,,,"Jh. BOUIS fará leilão, sexta feira 8 do corrente, de huma grande porção de escravos de ambos os sexos, terá entre elles moleques, mocambas, cozinheiras, e outros pretos de officio e de roça.",,,,,,,,,,,,,,,,
57,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,venda,oferecendo serviço,1,,,,,roceiro,,,M,18-22,preto,escravo,"Rua Nova de São Bento, 20",,"VENDE-SE hum preto de roça, de idade de 18 a 22 annos, e de boa figura; na rua nova de S. Bento n. 20.",,,,,,,,,,,,,,,,
58,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,aluguel,oferecendo serviço,1,,,,,"engomadeira, cozinheira",,,F ,,preta,escrava,"Rua do Sabão da Cidade Nova, 14",,"ALUGA-SE huma preta que sabe engommar e cozinhar, na rua do Sabão da Cidade Nova, n. 14.",,,,,,,,,,,,,,,,
59,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,fuga,,1,60$000,,,,,José,Caçange,M,,preto,escravo,"Rua da Candelária, 17 A",,"Fugirão de bordo da sumaca S. Domingos, no dia 3 do corrente, dous pretos marinheiros, hum por nome José, de nação Caçange, alto, cheio do corpo, com rosto comprido, retinto, com pouca barba e de 33 annos; e o outro por nome Manoel, de nação Mina Nagô de idade 22 annos, sem barba, retinto, de estatura regular, e com o signal de hum grande golpe na face esquerda: os apprehender e levar a seu senhor, na rua da Candelâria n. 17 A, receberá 60$000 rs. de gratificação.",,,,,,,,,,,,,,,,
60,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,fuga,,1,60$000,,,,,Manoel,Nagô,M,,preto,escravo,"Rua da Candelária, 17 A",,"Fugirão de bordo da sumaca S. Domingos, no dia 3 do corrente, dous pretos marinheiros, hum por nome José, de nação Caçange, alto, cheio do corpo, com rosto comprido, retinto, com pouca barba e de 33 annos; e o outro por nome Manoel, de nação Mina Nagô de idade 22 annos, sem barba, retinto, de estatura regular, e com o signal de hum grande golpe na face esquerda: os apprehender e levar a seu senhor, na rua da Candelâria n. 17 A, receberá 60$000 rs. de gratificação.",,,,,,,,,,,,,,,,
61,Jornal do Commercio,119,4,http://memoria.bn.br/docreader/364568_03/476,6-May-1840,venda,oferecendo serviço,1,,,,,mocamba,,,F,,preta,escrava,"Rua da Cadeia, 54 sobrado",,"VENDE-SE, só para fóra da provincia, huma preta de 22 annos, boa mocamba; na rua da Cadêa, sobrado n. 54.",,,,,,,,,,,,,,,,
